Country,Population,Num_Suicides,Suicides/Population
Albania,54048467,1766,3.267437724
Antigua and Barbuda,1687321,11,0.651921004
Argentina,897040831,71060,7.921601508
Armenia,74948140,1838,2.452362394
Aruba,1259677,101,8.017928405
Australia,467076286,59804,12.80390416
Austria,200687119,38824,19.34553657
Azerbaijan,111790300,1656,1.481344983
Bahamas,6132448,89,1.451296448
Bahrain,15634426,429,2.743944677
Barbados,5046591,128,2.536365638
Belarus,197372292,59892,30.34468486
Belgium,256786121,52124,20.29860485
Belize,5845058,340,5.816879833
Bosnia and Herzegovina,7327481,318,4.339827016
Brazil,4242744179,204513,4.820300055
Bulgaria,189987558,29120,15.32731949
Cabo Verde,452179,42,9.288357044
Canada,706806083,90041,12.73913767
Chile,372001992,37443,10.06526868
Colombia,971355204,48427,4.985508885
Costa Rica,90225788,6109,6.770791517
Croatia,88163308,17746,20.12855507
Cuba,251790133,41418,16.44941345
Cyprus,10896118,376,3.450770265
Czech Republic,255176598,42369,16.60379531
Denmark,112182219,15297,13.63585079
Ecuador,303256271,18603,6.134415601
El Salvador,124683698,11683,9.370110277
Estonia,27090810,7034,25.9645245
Fiji,8187391,304,3.713026531
Finland,128023658,29499,23.04183497
France,1411260275,268622,19.03419268
Georgia,93598800,3224,3.444488605
Germany,2024875612,291262,14.38419221
Greece,269121805,10374,3.854760115
Grenada,2013794,29,1.440067852
Guatemala,276531725,7379,2.668409927
Guyana,15285591,3276,21.43194856
Hungary,240253886,72130,30.02240721
Iceland,7009931,906,12.92452094
Ireland,92912386,11227,12.08342664
Israel,153658288,9855,6.413581804
Italy,1442960504,109371,7.579625339
Jamaica,29121884,157,0.539113472
Japan,3109253644,690809,22.21784001
Kazakhstan,377513869,101546,26.89861442
Kiribati,741606,53,7.146651996
Kuwait,52500391,917,1.746653658
Kyrgyzstan,115174187,13090,11.36539388
Latvia,44852640,12770,28.47101085
Lithuania,65639914,27217,41.46410064
Luxembourg,11205256,1636,14.60029115
Macau,346542,27,7.791263397
Maldives,2900246,20,0.689596676
Malta,9642203,549,5.693719578
Mauritius,27868777,3213,11.52903122
Mexico,2427316559,102612,4.227384336
Montenegro,5834863,472,8.089307324
Netherlands,392245915,41046,10.46435372
New Zealand,87872430,12219,13.90538534
Nicaragua,31742633,2013,6.341628938
Norway,112229487,14396,12.82728843
Oman,8987087,33,0.367193508
Panama,60268470,3103,5.148629126
Paraguay,111675969,4535,4.060855742
Philippines,1065068179,21330,2.002688694
Poland,866180029,139098,16.05878632
Portugal,214400898,19611,9.146883331
Puerto Rico,89452125,7551,8.441386943
Qatar,19657424,506,2.574091091
Republic of Korea,1164700936,245310,21.06205914
Romania,537076558,68295,12.71606422
Russian Federation,3555358820,1171821,32.95928932
Saint Lucia,3457654,196,5.668583381
Saint Vincent and Grenadines,2165026,122,5.635036254
San Marino,78825,4,5.074532192
Serbia,126140138,24179,19.16836336
Seychelles,1219816,86,7.050243643
Singapore,82280341,8378,10.18226213
Slovakia,111833713,13437,12.0151604
Slovenia,40268619,10615,26.36047688
South Africa,873130762,7321,0.838476929
Spain,1045677695,86182,8.241736475
Sri Lanka,154567226,44628,28.87287374
Suriname,9970928,1890,18.95510628
Sweden,221366579,31955,14.43533172
Switzerland,149994010,26217,17.47869798
Thailand,1389346962,97711,7.03287247
Trinidad and Tobago,25929597,3450,13.30525885
Turkey,482640582,10131,2.099077528
Turkmenistan,106792418,7829,7.331044794
Ukraine,1143783384,289262,25.2899285
United Arab Emirates,36502275,622,1.704003381
United Kingdom,1472666135,112935,7.668744281
United States,6928363201,882286,12.73440746
Uruguay,70174743,11719,16.69974053
Uzbekistan,486422532,34803,7.154890596
Grand Total,45776791044,6087972,13.29925462
